feature,type,status,platforms,roles,routes,apis,source_file
Kitchen Display System (KDS),Core,COMPLETE,web | desktop,CHEF | SUPERVISOR,/kds,GET /kds/queue | GET /kds/board | POST /kds/tickets/:id/start | POST /kds/tickets/:id/ready | POST /kds/tickets/:id/done,docs/milestones/M1-KDS-COMPLETION.md
Point of Sale (POS),Core,COMPLETE,web | desktop,CASHIER | WAITER | BARTENDER | SUPERVISOR,/pos | /pos/cash-sessions,GET /pos/orders | POST /pos/orders | POST /pos/orders/:id/close | POST /pos/payments | GET /pos/cash-sessions,instructions/EXECUTIVE_SUMMARY.md#L50-L60
Menu Management,Core,COMPLETE,web,MANAGER | OWNER,/settings/menu | /settings/modifiers,GET /menu/items | POST /menu/items | GET /menu/categories | POST /menu/categories | GET /menu/modifier-groups,packages/db/prisma/schema.prisma#L167-L285
Floor & Table Management,Core,COMPLETE,web,SUPERVISOR | MANAGER,/tables | /floor-layout,Implicit via Order/Reservation association,packages/db/prisma/schema.prisma#L705-L738
Multi-Tenancy,Infrastructure,COMPLETE,ALL,ALL,ALL,ALL,packages/db/prisma/schema.prisma#L13-L71
Auth - WebAuthn,Security,COMPLETE,web | desktop | mobile,ALL,/login,POST /webauthn/registration/options | POST /webauthn/registration/verify | POST /webauthn/authentication/options | POST /webauthn/authentication/verify,packages/db/prisma/schema.prisma#L125-L138
Auth - MSR Badge,Security,COMPLETE,desktop,STAFF,/login,POST /auth/msr-swipe | POST /auth/msr/assign,packages/db/prisma/schema.prisma#L140-L152
Auth - PIN Login,Security,COMPLETE,mobile | kiosk,STAFF,/login,POST /auth/pin-login,packages/db/prisma/schema.prisma#L154-L165
Reservations - Booking,Reservations,COMPLETE,web | mobile,WAITER | SUPERVISOR | MANAGER,/reservations | /reservations/calendar,POST /reservations | GET /reservations | GET /reservations/availability | POST /reservations/:id/confirm | POST /reservations/:id/seat,docs/milestones/M9.1-M9.6-RESERVATIONS-COMPLETION.md
Reservations - Deposits,Reservations,COMPLETE,web | mobile,WAITER | SUPERVISOR | MANAGER,/reservations,POST /reservations/:id/deposit/require | POST /reservations/:id/deposit/pay | POST /reservations/:id/deposit/refund,packages/db/prisma/schema.prisma#L649-L665
Reservations - Policies,Reservations,COMPLETE,web,MANAGER | OWNER,/reservations/policies,GET /reservations/policies | PUT /reservations/policies,packages/db/prisma/schema.prisma#L626-L647
Reservations - Today Board,Reservations,COMPLETE,web | desktop,WAITER | SUPERVISOR,/reservations/today-board,GET /reservations/today-board,services/api/src/reservations/reservations.controller.ts#L343
Waitlist,Reservations,COMPLETE,web | mobile,WAITER | SUPERVISOR,/waitlist,GET /waitlist | POST /waitlist | PATCH /waitlist/:id/seated | PATCH /waitlist/:id/dropped,packages/db/prisma/schema.prisma#L683-L703
Inventory - Items & Stock Levels,Inventory,COMPLETE,web,STOCK_MANAGER | PROCUREMENT | MANAGER,/inventory/items | /inventory/on-hand,POST /inventory/items | GET /inventory/items | GET /inventory/levels | POST /inventory/adjustments,docs/milestones/M11.1-INVENTORY-ITEMS-COMPLETION.md
Inventory - Purchase Orders,Inventory,COMPLETE,web,PROCUREMENT | MANAGER,/inventory/purchase-orders | /inventory/purchase-orders/[id],GET /inventory/purchase-orders | POST /inventory/purchase-orders | POST /inventory/purchase-orders/:id/approve | POST /inventory/purchase-orders/:id/place,docs/milestones/M11.2-PURCHASE-ORDERS-COMPLETION.md
Inventory - Receipts,Inventory,COMPLETE,web,STOCK_MANAGER | PROCUREMENT,/inventory/receipts | /inventory/receipts/[id],GET /inventory/receipts | POST /inventory/receipts | POST /inventory/receipts/:id/post,docs/milestones/M11.3-RECEIPTS-COMPLETION.md
Inventory - Production Orders,Inventory,COMPLETE,web,STOCK_MANAGER | CHEF,/inventory/production | /inventory/production/[id],POST /inventory/production | GET /inventory/production | GET /inventory/production/:id | PATCH /inventory/production/:id/post,docs/milestones/M11.4-PRODUCTION-COMPLETION.md
Inventory - Recipes,Inventory,COMPLETE,web,CHEF | STOCK_MANAGER,/inventory/recipes | /inventory/recipes/[id],Implicit via ProductionOrder,packages/db/prisma/schema.prisma#L1098-L1153
Inventory - Transfers,Inventory,COMPLETE,web,STOCK_MANAGER | MANAGER,/inventory/transfers | /inventory/transfers/[id],GET /inventory/transfers | POST /inventory/transfers | POST /inventory/transfers/:id/ship | POST /inventory/transfers/:id/receive,docs/milestones/M11.5-TRANSFERS-COMPLETION.md
Inventory - Waste Tracking,Inventory,COMPLETE,web,STOCK_MANAGER | CHEF | SUPERVISOR,/inventory/waste | /inventory/waste/[id],GET /inventory/waste | POST /inventory/waste | POST /inventory/waste/:id/post,docs/milestones/M11.6-WASTE-COMPLETION.md
Inventory - Stocktakes,Inventory,COMPLETE,web,STOCK_MANAGER | MANAGER,/inventory/stocktakes | /inventory/stocktakes/[id],GET /inventory/stocktakes | POST /inventory/stocktakes | POST /inventory/stocktakes/:id/start | POST /inventory/stocktakes/:id/approve | POST /inventory/stocktakes/:id/post,docs/milestones/M11.7-STOCKTAKES-COMPLETION.md
Inventory - Costing,Inventory,COMPLETE,web,ACCOUNTANT | MANAGER,/inventory/costing,Implicit via Inventory APIs (cost fields),docs/milestones/M11.8-COSTING-COMPLETION.md
Inventory - Reorder Automation,Inventory,COMPLETE,web,PROCUREMENT | STOCK_MANAGER,/inventory/reorder-alerts,Implicit via BranchInventoryLevel.reorderLevel,docs/milestones/M11.9-REORDER-COMPLETION.md
Inventory - Multi-Location,Inventory,COMPLETE,web,STOCK_MANAGER | MANAGER,/inventory (branch-filtered),ALL inventory APIs accept branchId,packages/db/prisma/schema.prisma#L911-L927
Inventory - Analytics,Inventory,COMPLETE,web,MANAGER | OWNER,/inventory/analytics,Derived from inventory transaction data,docs/milestones/M11.14-INVENTORY-ANALYTICS-COMPLETION.md
Finance - Accounts,Accounting,COMPLETE,web,ACCOUNTANT | OWNER,/finance/accounts,GET /accounting/accounts | POST /accounting/accounts,packages/db/prisma/schema.prisma#L1567-L1592
Finance - Vendors,Accounting,COMPLETE,web,ACCOUNTANT | PROCUREMENT,/finance/vendors | /finance/vendors/[id],POST /accounting/vendors | GET /accounting/vendors | GET /accounting/vendors/:id,packages/db/prisma/schema.prisma#L1380-L1406
Finance - Vendor Bills (AP),Accounting,COMPLETE,web,ACCOUNTANT | MANAGER,/finance/vendor-bills | /finance/vendor-bills/[id],GET /accounting/vendor-bills | POST /accounting/vendor-bills | POST /accounting/vendor-bills/:billId/open | POST /accounting/vendor-bills/:billId/void | POST /accounting/vendor-payments,docs/milestones/M8.2-ACCOUNTING-COMPLETION.md
Finance - AP Aging,Accounting,COMPLETE,web,ACCOUNTANT | OWNER,/finance/ap-aging,GET /accounting/ap/aging,services/api/src/accounting/accounting.controller.ts#L152
Finance - Customers,Accounting,COMPLETE,web,ACCOUNTANT | MANAGER,/finance/customers | /finance/customers/[id],POST /accounting/customers | GET /accounting/customers | GET /accounting/customers/:id,packages/db/prisma/schema.prisma#L554-L576
Finance - Customer Invoices (AR),Accounting,COMPLETE,web,ACCOUNTANT | MANAGER,/finance/customer-invoices | /finance/customer-invoices/[id],GET /accounting/customer-invoices | POST /accounting/customer-invoices | POST /accounting/customer-invoices/:invoiceId/open | POST /accounting/customer-receipts,packages/db/prisma/schema.prisma#L1493-L1565
Finance - AR Aging,Accounting,COMPLETE,web,ACCOUNTANT | OWNER,/finance/ar-aging,GET /accounting/ar/aging,services/api/src/accounting/accounting.controller.ts#L281
Finance - Journal Entries,Accounting,COMPLETE,web,ACCOUNTANT | OWNER,/finance/journal,GET /accounting/journal | POST /accounting/journal | POST /accounting/journal/:id/post | POST /accounting/journal/:id/reverse,packages/db/prisma/schema.prisma#L1594-L1637
Finance - Trial Balance,Accounting,COMPLETE,web,ACCOUNTANT | OWNER,/finance/trial-balance,GET /accounting/trial-balance,services/api/src/accounting/accounting.controller.ts#L287
Finance - P&L Statement,Accounting,COMPLETE,web,ACCOUNTANT | OWNER,/finance/pnl,GET /accounting/pnl,services/api/src/accounting/accounting.controller.ts#L299
Finance - Balance Sheet,Accounting,COMPLETE,web,ACCOUNTANT | OWNER,/finance/balance-sheet,GET /accounting/balance-sheet,services/api/src/accounting/accounting.controller.ts#L311
Finance - Credit Notes,Accounting,COMPLETE,web,ACCOUNTANT | MANAGER,/finance/credit-notes,Implicit via CustomerInvoice status,docs/milestones/M8.5-CREDIT-NOTES-COMPLETION.md
Finance - Payment Methods,Accounting,COMPLETE,web,ACCOUNTANT | OWNER,/finance/payment-methods,GET /accounting/payment-methods | POST /accounting/payment-methods,packages/db/prisma/schema.prisma#L1639-L1655
Workforce - Employee Profiles,HR,COMPLETE,web,MANAGER | OWNER,/staff | /staff/[id],Implicit via EmployeeProfile,packages/db/prisma/schema.prisma#L1657-L1687
Workforce - Scheduling,Workforce,COMPLETE,web | mobile,SUPERVISOR | MANAGER,/workforce/schedule | /workforce/my-schedule,GET /workforce/schedule | POST /workforce/schedule/shifts | PATCH /workforce/schedule/shifts/:id | DELETE /workforce/schedule/shifts/:id,docs/milestones/M10.1-SCHEDULING-COMPLETION.md
Workforce - Timeclock,Workforce,COMPLETE,web | mobile | desktop,ALL STAFF,/workforce/timeclock | /workforce/my-time,POST /workforce/clock-in | POST /workforce/clock-out | GET /workforce/time-entries,docs/milestones/M10.2-TIMECLOCK-COMPLETION.md
Workforce - Time Approvals,Workforce,COMPLETE,web,SUPERVISOR | MANAGER,/workforce/timesheets,GET /workforce/timesheets/pending | POST /workforce/timesheets/approve | POST /workforce/timesheets/reject,packages/db/prisma/schema.prisma#L1762-L1785
